name,category,address,website,plus_code,comment_avg,comment_count
Leśnictwo Jordanowo. Nadleśnictwo Świebodzin,Forstamt,"3 Maja 5, 66-200 Świebodzin, Polen",,"6GXR+GW Schwiebus, Polen",,
Leśniczówka. Leśnictwo Lubień. Nadleśnictwo Sulęcin,Forstamt,"Stanisława Moniuszki 40, 69-200 Sulęcin, Polen",,"C4J5+H8 Sulęcin, Polen","5,0",1
Leśnictwo Złotawa,Forstamt,"Nadleśnictwo, 66-500 Strzelce Krajeńskie, Polen",,"VG8G+WF Strzelce Krajeńskie, Polen","5,0",1
Leśnictwo Żubrów. Nadleśnictwo Sulęcin,Forstamt,"12, 69-200 Żubrów, Polen",,"F4JW+29 Żubrów, Polen","5,0",5
Arkadiusz Tuwalski,Behörde für Veteranenangelegenheiten,"Gruduska 88, 06-400 Ciechanów, Polen",,"WJ2M+QP Ciechanów, Polen",,
Leśnictwo Książ. Nadleśnictwo Nowa Sól,Forstamt,"7, 67-128 Książ Śląski, Polen",,"RHH3+V7 Książ Śląski, Polen",,
Leśnictwo Krzeczkowo. Nadleśnictwo Świebodzin,Forstamt,"Rozłogi 22, 66-200 Rozłogi, Polen",,"6FRV+F8 Rozłogi, Polen","4,3",7
Leśnictwo Hetmanice,Forstamt,"Nowe Ogrody 1, 67-400 Wschowa, Polen",poznan.lasy.gov.pl,"R8G4+C7 Wschowa, Polen","5,0",1
Leśnictwo Długoszynek. Nadleśnictwo Sulęcin,Forstamt,"69-200 Długoszynek, Polen",,,"5,0",2
Leśnictwo Przylaski (Nadleśnictwo Nowa Sól),Forstamt,"Wojsławice 3, 68-113 Przylaski, Polen",,"QCCJ+P2 Przylaski, Polen",,
Leśnictwo Nowa Sól. Nadleśnictwo Nowa Sól,Forstamt,"Graniczna 47, 67-100 Nowa Sól, Polen",zielonagora.lasy.gov.pl,"RPF4+M7 Nowa Sól, Polen",,
Leśnictwo Mirocin,Forstamt,"Mirocin Dolny 21, 67-128 Mirocin Dolny, Polen",zielonagora.lasy.gov.pl,"QGJW+99 Mirocin Dolny, Polen","5,0",1
West4Wind - Praca w OZE,Arbeitsamt,"gen. Władysława Sikorskiego 9/1, 66-200 Świebodzin, Polen",west4wind.com,"6GWH+MJ Schwiebus, Polen","5,0",4
Ratusz w Nowym Miasteczku,Rathaus,"Rynek 19, 67-124 Nowe Miasteczko, Polen",,"MPRJ+6C Nowe Miasteczko, Polen",,
